stock_id,net_buy,date
059633,407000.0,2026-07-07
066456,407000.0,2026-07-07
063740,406000.0,2026-07-07
2330,404046.0,2026-07-07
03206T,404000.0,2026-07-07
067225,404000.0,2026-07-07
070997,404000.0,2026-07-07
071502,403000.0,2026-07-07
08379U,403000.0,2026-07-07
068494,403000.0,2026-07-07
072276,402000.0,2026-07-07
08908U,401000.0,2026-07-07
069616,401000.0,2026-07-07
070095,400000.0,2026-07-07
060287,400000.0,2026-07-07
08918U,400000.0,2026-07-07
071128,399000.0,2026-07-07
051360,398000.0,2026-07-07
031288,398000.0,2026-07-07
070015,398000.0,2026-07-07
054978,397000.0,2026-07-07
065288,395000.0,2026-07-07
070452,394000.0,2026-07-07
063405,394000.0,2026-07-07
3022,393172.0,2026-07-07
069137,393000.0,2026-07-07
071094,393000.0,2026-07-07
6585,392920.0,2026-07-07
068775,390000.0,2026-07-07
3033,389931.0,2026-07-07
064939,389000.0,2026-07-07
052194,389000.0,2026-07-07
057624,387000.0,2026-07-07
055407,386000.0,2026-07-07
054530,385000.0,2026-07-07
066299,385000.0,2026-07-07
058508,385000.0,2026-07-07
6196,383935.0,2026-07-07
052806,382000.0,2026-07-07
070179,382000.0,2026-07-07
046344,382000.0,2026-07-07
060896,381000.0,2026-07-07
071532,379000.0,2026-07-07
6155,378125.0,2026-07-07
071501,378000.0,2026-07-07
9939,377706.0,2026-07-07
6213,377435.0,2026-07-07
068613,377000.0,2026-07-07
8028,376767.0,2026-07-07
072507,376000.0,2026-07-07
066621,375000.0,2026-07-07
073286,375000.0,2026-07-07
058083,375000.0,2026-07-07
072392,375000.0,2026-07-07
062599,375000.0,2026-07-07
068037,375000.0,2026-07-07
070086,375000.0,2026-07-07
6719,374570.0,2026-07-07
6901,373521.0,2026-07-07
067038,373000.0,2026-07-07
066685,373000.0,2026-07-07
3591,372259.0,2026-07-07
031307,371000.0,2026-07-07
2108,370990.0,2026-07-07
067371,370000.0,2026-07-07
055395,370000.0,2026-07-07
055059,370000.0,2026-07-07
071060,369000.0,2026-07-07
060595,368000.0,2026-07-07
6226,368000.0,2026-07-07
068265,367000.0,2026-07-07
064703,367000.0,2026-07-07
057108,367000.0,2026-07-07
03146T,365000.0,2026-07-07
072354,365000.0,2026-07-07
072037,365000.0,2026-07-07
06281U,365000.0,2026-07-07
069730,364000.0,2026-07-07
071787,364000.0,2026-07-07
071496,363000.0,2026-07-07
00982D,362000.0,2026-07-07
6214,361152.0,2026-07-07
068252,361000.0,2026-07-07
072948,361000.0,2026-07-07
073111,360000.0,2026-07-07
065748,360000.0,2026-07-07
065764,360000.0,2026-07-07
8105,359117.0,2026-07-07
068701,359000.0,2026-07-07
069683,359000.0,2026-07-07
050281,359000.0,2026-07-07
067340,359000.0,2026-07-07
067435,357000.0,2026-07-07
070471,357000.0,2026-07-07
058298,356000.0,2026-07-07
069511,356000.0,2026-07-07
060707,355000.0,2026-07-07
059143,355000.0,2026-07-07
056059,355000.0,2026-07-07
3550,354967.0,2026-07-07
067623,354000.0,2026-07-07
08409U,353000.0,2026-07-07
062077,353000.0,2026-07-07
069638,353000.0,2026-07-07
068098,352000.0,2026-07-07
068616,352000.0,2026-07-07
067710,352000.0,2026-07-07
054160,352000.0,2026-07-07
6443,350808.0,2026-07-07
062646,350000.0,2026-07-07
063159,350000.0,2026-07-07
066936,350000.0,2026-07-07
067358,350000.0,2026-07-07
049264,350000.0,2026-07-07
049539,350000.0,2026-07-07
00645,349626.0,2026-07-07
00706L,348238.0,2026-07-07
071427,348000.0,2026-07-07
1460,347729.0,2026-07-07
07986U,347000.0,2026-07-07
072628,347000.0,2026-07-07
067280,346000.0,2026-07-07
066932,345000.0,2026-07-07
061044,345000.0,2026-07-07
059594,345000.0,2026-07-07
2379,343588.0,2026-07-07
5269,342558.0,2026-07-07
067220,342000.0,2026-07-07
065165,342000.0,2026-07-07
071360,341000.0,2026-07-07
055404,341000.0,2026-07-07
069248,341000.0,2026-07-07
062703,340000.0,2026-07-07
060102,340000.0,2026-07-07
039025,340000.0,2026-07-07
066243,339000.0,2026-07-07
069722,339000.0,2026-07-07
069300,336000.0,2026-07-07
072755,336000.0,2026-07-07
072779,336000.0,2026-07-07
071048,336000.0,2026-07-07
052193,336000.0,2026-07-07
7799,335677.0,2026-07-07
071479,335000.0,2026-07-07
3346,333448.0,2026-07-07
071639,333000.0,2026-07-07
049649,333000.0,2026-07-07
