stock_id,close,volume,prev_close,pct_change,date
009808,29.91,530141,30.15,-0.7960199004975124,2026-08-03
009809,17.05,624654,17.29,-1.3880855986119145,2026-08-03
00980A,22.13,33653265,21.459999999999997,3.122087604846226,2026-08-03
009810,21.39,602400,21.12,1.278409090909091,2026-08-03
009811,13.19,979458,13.059999999999999,0.995405819295559,2026-08-03
009812,12.75,707941,12.67,0.6314127861089187,2026-08-03
009813,11.21,2758968,11.08,1.1732851985559567,2026-08-03
009816,14.61,212920490,14.649999999999999,-0.2730375426621161,2026-08-03
009817,9.47,2213529,9.42,0.5307855626326965,2026-08-03
009818,19.7,198600,19.599999999999998,0.5102040816326531,2026-08-03
009819,9.99,3089763,10.02,-0.29940119760479045,2026-08-03
00981A,27.11,434596962,26.13,3.750478377344049,2026-08-03
00981T,11.88,3239271,11.91,-0.2518891687657431,2026-08-03
009820,9.44,3260612,9.469999999999999,-0.31678986272439286,2026-08-03
009821,12.85,3434033,13.02,-1.30568356374808,2026-08-03
009824,9.88,5160729,9.91,-0.30272452068617556,2026-08-03
009826,10.08,68534288,10.040000000000001,0.398406374501992,2026-08-03
00982A,21.04,38069557,20.39,3.1878371750858268,2026-08-03
00982D,9.85,791138,9.879999999999999,-0.30364372469635625,2026-08-03
00982T,14.89,71002,14.600000000000001,1.9863013698630134,2026-08-03
00983A,11.16,367970,11.370000000000001,-1.846965699208443,2026-08-03
00983D,10.09,1005716,10.12,-0.2964426877470356,2026-08-03
00984A,14.27,4246995,14.09,1.2775017743080197,2026-08-03
00984D,10.14,23080151,10.17,-0.2949852507374631,2026-08-03
00985A,20.32,6693079,19.89,2.1618903971845147,2026-08-03
00985B,10.41,7391405,10.43,-0.19175455417066156,2026-08-03
00986A,14.32,577072,14.21,0.7741027445460943,2026-08-03
00987A,14.14,4738421,13.48,4.896142433234421,2026-08-03
00988A,16.14,42076859,16.26,-0.7380073800738006,2026-08-03
00989A,16.46,1271716,16.42,0.24360535931790497,2026-08-03
00990A,15.34,12956021,15.56,-1.4138817480719794,2026-08-03
00991A,15.98,287494782,15.41,3.698896820246593,2026-08-03
00991B,15.05,1933547,15.06,-0.06640106241699867,2026-08-03
00992A,15.59,62908269,14.82,5.195681511470985,2026-08-03
00993A,12.23,14906581,11.77,3.908241291418862,2026-08-03
00994A,15.57,7302967,14.9,4.496644295302014,2026-08-03
00995A,15.79,12151002,15.12,4.431216931216932,2026-08-03
00996A,12.46,6169528,12.06,3.316749585406302,2026-08-03
00997A,11.11,6866107,11.2,-0.8035714285714287,2026-08-03
00999A,10.35,22015554,10.16,1.8700787401574805,2026-08-03
01001T,11.35,30181,11.35,0.0,2026-08-03
01002T,13.5,26000,13.5,0.0,2026-08-03
01004T,10.22,64008,10.22,0.0,2026-08-03
01007T,12.2,429000,12.229999999999999,-0.24529844644317253,2026-08-03
01009T,5.63,6000,5.66,-0.5300353356890459,2026-08-03
01010T,10.0,34000,10.0,0.0,2026-08-03
020000,29.11,13000,27.77,4.825351098307527,2026-08-03
02001L,121.95,197000,110.95,9.914375844975213,2026-08-03
020020,26.16,6000,25.41,2.95159386068477,2026-08-03
020028,18.62,1000,18.42,1.0857763300760044,2026-08-03
020029,18.1,6000,17.87,1.2870733072188025,2026-08-03
020030,17.14,1000,16.55,3.564954682779456,2026-08-03
020031,9.39,18000,8.92,5.2690582959641254,2026-08-03
020034,13.19,182000,12.35,6.801619433198381,2026-08-03
020038,13.89,2000,13.89,0.0,2026-08-03
020039,13.87,974000,13.86,0.07215007215007214,2026-08-03
1101,23.8,40992838,24.3,-2.05761316872428,2026-08-03
1101B,43.5,16622,43.5,0.0,2026-08-03
1102,32.7,11458827,33.0,-0.9090909090909091,2026-08-03
1103,13.15,261826,13.1,0.3816793893129771,2026-08-03
1104,26.9,438835,26.799999999999997,0.37313432835820903,2026-08-03
1108,12.1,118362,11.95,1.2552301255230125,2026-08-03
1109,13.7,122040,13.799999999999999,-0.7246376811594204,2026-08-03
1110,16.0,51028,16.15,-0.9287925696594427,2026-08-03
1201,12.2,263636,12.2,0.0,2026-08-03
1203,48.35,24446,48.95,-1.2257405515832482,2026-08-03
1210,56.0,2015540,56.0,0.0,2026-08-03
1213,7.24,7000,7.23,0.1383125864453665,2026-08-03
1215,103.0,1926108,104.0,-0.9615384615384616,2026-08-03
1216,73.0,16576338,73.8,-1.0840108401084012,2026-08-03
1217,9.85,616325,9.95,-1.0050251256281408,2026-08-03
1218,15.7,1878975,15.95,-1.5673981191222572,2026-08-03
1219,11.0,1419083,11.4,-3.508771929824561,2026-08-03
1220,11.25,41924,11.2,0.4464285714285715,2026-08-03
1225,24.7,322667,25.8,-4.263565891472868,2026-08-03
1227,28.95,1450304,29.25,-1.0256410256410255,2026-08-03
1229,40.2,2355679,40.35,-0.37174721189591076,2026-08-03
1231,80.4,702154,81.5,-1.3496932515337425,2026-08-03
1232,153.5,282930,154.5,-0.6472491909385114,2026-08-03
1233,28.95,11113,28.9,0.17301038062283738,2026-08-03
1234,33.85,118718,33.75,0.29629629629629634,2026-08-03
1235,37.2,9146,37.0,0.5405405405405406,2026-08-03
1236,24.7,74742,24.55,0.6109979633401221,2026-08-03
1256,182.0,44132,183.0,-0.546448087431694,2026-08-03
1301,53.8,26143059,55.0,-2.1818181818181817,2026-08-03
1303,165.0,144838220,159.5,3.4482758620689653,2026-08-03
1304,11.15,2549083,11.25,-0.8888888888888888,2026-08-03
1305,11.0,937519,11.1,-0.9009009009009009,2026-08-03
1307,31.35,466429,31.75,-1.2598425196850396,2026-08-03
1308,12.6,1264622,12.549999999999999,0.3984063745019921,2026-08-03
1309,12.55,1530649,12.5,0.4,2026-08-03
1310,7.34,5488081,7.33,0.1364256480218281,2026-08-03
1312,11.45,4041140,11.299999999999999,1.3274336283185841,2026-08-03
1312A,20.75,1000,20.75,0.0,2026-08-03
1313,10.55,2245757,10.350000000000001,1.932367149758454,2026-08-03
1314,7.66,21481702,7.57,1.1889035667107,2026-08-03
1315,63.4,21353,64.2,-1.2461059190031152,2026-08-03
1316,10.05,829949,9.950000000000001,1.0050251256281406,2026-08-03
1319,71.4,1606266,71.2,0.2808988764044944,2026-08-03
